"Date","Windows","Android","iOS","Unknown","Series 40","OS X","SymbianOS","BlackBerry OS","Linux","Nokia Unknown","Samsung","Sony Ericsson","LG","Tizen","Chrome OS","macOS","Playstation","bada","Other"
2009-01,97.65,0,0.04,0.61,0,0.5,0.98,0,0.21,0,0,0,0,0,0,0,0.01,0,0.01
2009-02,97.74,0,0.04,0.48,0,0.55,0.93,0,0.23,0,0,0,0,0,0,0,0.01,0,0.01
2009-03,97.58,0,0.07,0.5,0,0.56,1.03,0,0.25,0,0,0,0,0,0,0,0.01,0,0.01
2009-04,97.38,0,0.08,0.47,0,0.59,1.17,0,0.28,0,0,0,0,0,0,0,0.01,0,0.01
2009-05,97.24,0,0.06,0.5,0,0.62,1.16,0,0.37,0,0,0,0,0,0,0,0.01,0,0.04
2009-06,97,0,0.06,0.54,0,0.64,1.32,0,0.38,0,0,0,0,0,0,0,0.01,0,0.05
2009-07,96.85,0,0.07,1.07,0,0.66,0.86,0,0.36,0,0.03,0.04,0,0,0,0,0.01,0,0.04
2009-08,96.66,0,0.08,0.35,0,0.7,1.49,0.01,0.36,0,0.14,0.18,0,0,0,0,0.01,0,0.03
2009-09,95.73,0,0.09,0.56,0,0.69,2.02,0.02,0.35,0,0.25,0.26,0.01,0,0,0,0.01,0,0.02
2009-10,95.12,0,0.1,0.57,0,0.72,2.52,0.03,0.36,0,0.24,0.31,0.01,0,0,0,0.01,0,0.02
2009-11,95.55,0,0.11,0.5,0,0.76,2.19,0.04,0.37,0,0.2,0.24,0.01,0,0,0,0.01,0,0.01
2009-12,96.56,0,0.09,0.41,0,0.74,1.54,0.02,0.31,0,0.12,0.19,0,0,0,0,0.01,0,0.01
2010-01,95.96,0,0.09,0.38,0,0.85,1.97,0.01,0.34,0,0.12,0.25,0,0,0,0,0.01,0,0.01
2010-02,95.28,0.01,0.11,0.27,0,0.96,2.53,0.02,0.38,0,0.14,0.3,0.01,0,0,0,0.01,0,0.01
2010-03,93.45,0.01,0.11,0.34,0,1.08,4.01,0.02,0.4,0,0.14,0.41,0.01,0,0,0,0.01,0,0.01
2010-04,92.63,0.01,0.11,0.47,0,1.08,4.61,0.03,0.4,0,0.15,0.47,0.01,0,0,0,0.01,0,0.01
2010-05,93.39,0.01,0.12,0.5,0,1.11,3.86,0.03,0.42,0,0.16,0.37,0,0,0,0,0.01,0,0.01
2010-06,94.86,0.01,0.14,0.43,0,1.12,2.54,0.03,0.42,0,0.18,0.24,0,0,0,0,0.02,0,0.01
2010-07,94.84,0.02,0.16,0.49,0,1.14,2.45,0.04,0.41,0,0.2,0.21,0.01,0,0,0,0.02,0,0.01
2010-08,94.51,0.03,0.2,0.41,0,1.23,2.65,0.05,0.44,0,0.22,0.23,0.01,0,0,0,0.02,0,0
2010-09,93.53,0.04,0.21,0.48,0,1.21,3.53,0.06,0.42,0,0.22,0.26,0.01,0,0,0,0.02,0,0
2010-10,92.41,0.05,0.24,0.63,0,1.26,4.35,0.08,0.43,0,0.23,0.29,0.01,0,0,0,0.01,0,0
2010-11,92.26,0.06,0.26,0.61,0,1.3,4.4,0.09,0.43,0,0.26,0.29,0.01,0,0,0,0.01,0,0.01
2010-12,91.69,0.08,0.31,0.65,0,1.27,4.75,0.11,0.42,0,0.35,0.32,0.02,0,0,0,0.02,0,0.02
2011-01,91.64,0.1,0.36,0.68,0,1.44,4.62,0.1,0.43,0,0.3,0.28,0.02,0,0,0,0.02,0,0.02
2011-02,91.89,0.12,0.35,0.63,0,1.38,4.53,0.1,0.43,0,0.29,0.24,0.01,0,0,0,0.01,0,0.02
2011-03,91.98,0.14,0.36,0.61,0,1.39,4.41,0.1,0.44,0,0.29,0.23,0.01,0,0,0,0.01,0,0.01
2011-04,91.3,0.17,0.4,0.68,0,1.31,5,0.12,0.41,0,0.32,0.25,0.02,0,0,0,0.01,0,0.02
2011-05,91.27,0.21,0.45,0.64,0,1.37,4.9,0.13,0.44,0,0.32,0.22,0.01,0,0,0,0.01,0.01,0.02
2011-06,90.81,0.25,0.5,0.68,0,1.41,5.13,0.14,0.46,0,0.33,0.23,0.02,0,0,0,0.01,0.02,0.02
2011-07,89.93,0.31,0.58,0.78,0,1.41,5.73,0.16,0.44,0,0.37,0.24,0.02,0,0,0,0.02,0.02,0.02
