"Date","Windows","Android","iOS","Unknown","OS X","Series 40","SymbianOS","Samsung","Linux","Nokia Unknown","BlackBerry OS","Sony Ericsson","KaiOS","Tizen","bada","macOS","Chrome OS","LG","Playstation","Firefox OS","Other"
2009-01,97.48,0,0.07,0.37,1,0,0.68,0,0.37,0,0,0,0,0,0,0,0,0,0.02,0,0.01
2009-02,97.66,0,0.07,0.35,0.92,0,0.62,0,0.36,0,0,0,0,0,0,0,0,0,0.01,0,0.01
2009-03,97.61,0,0.08,0.37,0.93,0,0.65,0,0.34,0,0,0,0,0,0,0,0,0,0.01,0,0
2009-04,97.65,0,0.09,0.31,0.92,0,0.67,0,0.34,0,0,0,0,0,0,0,0,0,0.01,0,0
2009-05,97.62,0,0.08,0.36,0.87,0,0.75,0,0.3,0,0,0,0,0,0,0,0,0,0.01,0,0.01
2009-06,97.32,0,0.08,0.41,0.98,0,0.85,0,0.34,0,0,0,0,0,0,0,0,0,0.01,0,0.01
2009-07,97.36,0,0.08,0.66,0.97,0,0.56,0,0.31,0,0,0.04,0,0,0,0,0,0,0.01,0,0.01
2009-08,97.2,0,0.09,0.22,1.07,0,0.9,0.02,0.31,0,0.01,0.17,0,0,0,0,0,0,0.01,0,0.01
2009-09,97.17,0,0.09,0.22,1.08,0,0.93,0.02,0.3,0,0.01,0.16,0,0,0,0,0,0,0.02,0,0.01
2009-10,97.05,0,0.09,0.2,1.08,0,1.03,0.02,0.32,0,0.01,0.17,0,0,0,0,0,0,0.01,0,0.01
2009-11,96.89,0,0.1,0.25,1.13,0,1.05,0.02,0.33,0,0.01,0.2,0,0,0,0,0,0,0.01,0,0.01
2009-12,96.8,0,0.12,0.31,1.13,0,1.07,0.02,0.32,0,0.01,0.2,0,0,0,0,0,0,0.01,0,0.01
2010-01,96.35,0.01,0.14,0.33,1.17,0,1.34,0.03,0.29,0,0.07,0.25,0,0,0,0,0,0,0.02,0,0.01
2010-02,95.94,0.01,0.18,0.28,1.29,0,1.57,0.04,0.31,0,0.07,0.28,0,0,0,0,0,0,0.02,0,0.01
2010-03,95.4,0.01,0.21,0.34,1.32,0,1.95,0.05,0.32,0,0.06,0.32,0,0,0,0,0,0,0.02,0,0.01
2010-04,94.91,0.02,0.23,0.47,1.36,0,2.15,0.07,0.32,0,0.08,0.36,0,0,0,0,0,0,0.02,0,0.01
2010-05,94.59,0.01,0.27,0.58,1.34,0,2.27,0.11,0.32,0,0.11,0.37,0,0,0,0,0,0,0.02,0,0.01
2010-06,94.26,0.02,0.28,0.5,1.32,0,2.56,0.16,0.33,0,0.14,0.4,0,0,0,0,0,0,0.02,0,0.01
2010-07,93.9,0.06,0.31,0.52,1.35,0,2.76,0.15,0.33,0,0.16,0.43,0,0,0,0,0,0.01,0.02,0,0.01
2010-08,93.41,0.09,0.36,0.56,1.41,0,2.99,0.17,0.34,0,0.16,0.46,0,0,0,0,0,0.01,0.02,0,0.02
2010-09,92.04,0.12,0.4,0.64,1.47,0,3.4,0.21,0.33,0,0.81,0.53,0,0,0,0,0,0.01,0.02,0,0.02
2010-10,91.98,0.2,0.45,0.56,1.44,0,3.51,0.22,0.33,0,0.75,0.54,0,0,0,0,0,0.01,0.02,0,0.01
2010-11,91.82,0.27,0.5,0.52,1.44,0,3.58,0.27,0.32,0,0.74,0.48,0,0,0,0,0,0.01,0.02,0,0.02
2010-12,92.53,0.31,0.52,0.49,1.42,0,3.15,0.27,0.32,0,0.55,0.4,0,0,0,0,0,0.01,0.02,0,0.02
2011-01,91.87,0.36,0.6,0.55,1.52,0,3.59,0.36,0.32,0,0.37,0.42,0,0,0,0,0,0.01,0.02,0,0.02
2011-02,91.24,0.44,0.66,0.57,1.5,0,3.77,0.4,0.32,0,0.63,0.43,0,0,0,0,0,0.01,0.02,0,0.02
2011-03,90.69,0.52,0.71,0.57,1.49,0,3.99,0.45,0.32,0,0.8,0.43,0,0,0,0,0,0.01,0.02,0,0.02
2011-04,90.15,0.66,0.78,0.61,1.49,0,4.35,0.53,0.31,0,0.6,0.45,0,0,0.01,0,0,0.01,0.02,0,0.02
2011-05,89.43,0.89,0.88,0.69,1.53,0,4.58,0.6,0.32,0,0.51,0.45,0,0,0.05,0,0,0.01,0.02,0,0.02
2011-06,87.25,1.2,0.96,0.82,1.54,0,5.52,0.79,0.32,0,1.01,0.47,0,0,0.06,0,0,0.01,0.02,0,0.02
2011-07,86.94,1.47,1.07,0.81,1.54,0,5.77,0.9,0.32,0,0.59,0.48,0,0,0.07,0,0,0.01,0.02,0,0.02
2011-08,86.52,1.72,1.19,0.82,1.57,0,5.91,0.99,0.32,0,0.36,0.46,0,0,0.08,0,0,0.01,0.03,0,0.02
2011-09,86.24,1.59,1.34,0.93,1.66,0,6.01,0.99,0.34,0,0.36,0.39,0,0,0.08,0,0,0.01,0.03,0,0.01
2011-10,86.09,1.62,1.51,1.07,1.78,0,5.8,0.98,0.34,0,0.29,0.36,0,0,0.09,0,0,0.01,0.04,0,0.02
2011-11,85.12,1.65,1.67,1.01,1.77,0,6.48,1.16,0.36,0,0.24,0.38,0,0,0.1,0,0,0.01,0.04,0,0.02
2011-12,83.55,1.8,1.76,1,1.71,0,7.69,1.31,0.35,0,0.21,0.44,0,0,0.11,0,0,0.01,0.04,0,0.02
2012-01,82.32,2.17,2.03,1.02,1.81,0,7.94,1.51,0.35,0,0.25,0.41,0,0,0.13,0,0,0.02,0.03,0,0.02
2012-02,82.42,2.52,2.22,1.06,1.77,0,7.53,1.33,0.36,0,0.23,0.37,0,0,0.13,0,0,0.01,0.01,0,0.02
2012-03,81.42,2.59,2.22,1.21,1.72,0,8.02,1.61,0.35,0,0.26,0.39,0,0,0.17,0,0,0.02,0.02,0,0.03
2012-04,79.31,2.91,2.42,1.2,1.8,0.77,8.19,2.07,0.35,0,0.26,0.42,0,0,0.2,0,0,0.02,0.03,0,0.05
2012-05,78.31,3.13,2.52,1.27,1.82,3.39,6.03,2.24,0.32,0,0.23,0.41,0,0,0.23,0,0,0.02,0.03,0,0.05
2012-06,77.83,3.53,3.08,1.22,1.75,3.96,5.14,2.25,0.32,0,0.24,0.37,0,0,0.23,0,0,0.02,0.03,0,0.05
