"Date","Windows","Android","iOS","OS X","Linux","Unknown","BlackBerry OS","Chrome OS","Playstation","SymbianOS","Samsung","Series 40","macOS","Sony Ericsson","Xbox","bada","Nokia Unknown","Nintendo","Other"
2009-01,94.99,0,0.19,3.31,0.91,0.22,0,0,0.12,0.24,0,0,0,0,0,0,0,0,0.01
2009-02,94.94,0,0.21,3.38,0.93,0.17,0.01,0,0.11,0.22,0,0,0,0,0,0,0,0.01,0.01
2009-03,94.73,0,0.26,3.47,0.97,0.18,0.02,0,0.11,0.23,0,0,0,0,0,0,0,0.01,0.01
2009-04,94.47,0.01,0.31,3.59,1,0.21,0.02,0,0.13,0.24,0,0,0,0,0,0,0,0.01,0.01
2009-05,94.39,0,0.27,3.59,1,0.3,0.03,0,0.13,0.27,0,0,0,0,0,0,0,0.01,0.01
2009-06,94.13,0,0.27,3.65,1.12,0.35,0.03,0,0.14,0.29,0,0,0,0,0,0,0,0.01,0.01
2009-07,93.89,0.01,0.28,3.84,1.31,0.24,0.04,0,0.17,0.17,0,0,0,0.02,0,0,0,0.01,0.01
2009-08,93.97,0.01,0.32,3.99,1.03,0.12,0.05,0,0.16,0.24,0.01,0,0,0.08,0,0,0,0.01,0.01
2009-09,93.73,0.02,0.31,4.25,1.04,0.12,0.05,0,0.16,0.23,0.01,0,0,0.07,0,0,0,0.02,0.01
2009-10,93.37,0.02,0.33,4.57,1.05,0.11,0.06,0,0.17,0.22,0.01,0,0,0.06,0,0,0,0.01,0.01
2009-11,92.99,0.02,0.36,4.76,1.11,0.2,0.07,0,0.18,0.21,0.01,0,0,0.06,0,0,0,0.01,0.01
2009-12,92.99,0.02,0.4,4.61,1.09,0.28,0.06,0,0.22,0.22,0.01,0,0,0.06,0,0,0,0.02,0.01
2010-01,92.43,0.03,0.5,5.06,1.11,0.25,0.08,0,0.19,0.23,0.02,0,0,0.07,0,0,0,0.02,0.01
2010-02,92.51,0.03,0.53,5.06,1.14,0.14,0.07,0,0.18,0.23,0.02,0,0,0.07,0,0,0,0.02,0.01
2010-03,92.28,0.04,0.53,5.18,1.18,0.14,0.11,0,0.19,0.24,0.02,0,0,0.07,0,0,0,0.02,0.01
2010-04,92.06,0.04,0.59,5.24,1.2,0.17,0.13,0,0.19,0.24,0.02,0,0,0.07,0,0,0,0.02,0.01
2010-05,91.83,0.03,0.66,5.34,1.23,0.2,0.15,0,0.19,0.23,0.03,0,0,0.08,0,0,0,0.02,0.01
2010-06,91.76,0.04,0.74,5.28,1.27,0.17,0.19,0,0.19,0.24,0.03,0,0,0.08,0,0,0,0.02,0.01
2010-07,91.64,0.12,0.83,5.18,1.23,0.13,0.25,0,0.21,0.26,0.03,0,0,0.09,0,0,0,0.02,0.01
2010-08,91.28,0.16,0.98,5.34,1.19,0.12,0.28,0,0.21,0.28,0.04,0,0,0.09,0,0,0,0.02,0.01
2010-09,91.17,0.18,0.92,5.59,1.12,0.12,0.31,0,0.18,0.26,0.04,0,0,0.08,0,0,0,0.01,0.01
2010-10,90.8,0.21,1,5.84,1.11,0.11,0.33,0,0.17,0.28,0.04,0,0,0.08,0,0,0,0.01,0.01
2010-11,90.55,0.24,1.02,5.96,1.13,0.1,0.39,0,0.16,0.28,0.04,0,0,0.08,0,0,0,0.01,0.02
2010-12,90.41,0.31,1.18,5.81,1.13,0.12,0.41,0,0.18,0.3,0.05,0,0,0.08,0,0,0,0.01,0.02
2011-01,90.02,0.36,1.34,6.12,1.09,0.1,0.36,0,0.17,0.27,0.05,0,0,0.07,0,0,0,0.01,0.02
2011-02,90.06,0.38,1.33,6.1,1.1,0.1,0.36,0,0.16,0.26,0.05,0,0,0.07,0,0,0,0.01,0.02
2011-03,89.86,0.42,1.39,6.15,1.12,0.1,0.39,0,0.15,0.27,0.05,0,0,0.07,0,0,0,0.01,0.02
2011-04,89.58,0.48,1.55,6.1,1.13,0.11,0.45,0,0.17,0.28,0.05,0,0,0.07,0,0.01,0,0.01,0.02
2011-05,88.97,0.57,1.69,6.34,1.21,0.12,0.48,0,0.18,0.29,0.04,0,0,0.07,0,0.02,0,0.01,0.02
2011-06,88.58,0.67,1.88,6.33,1.21,0.14,0.55,0,0.17,0.31,0.04,0,0,0.07,0,0.02,0,0.01,0.02
2011-07,88.35,0.79,2.1,6.14,1.18,0.13,0.62,0,0.19,0.33,0.05,0,0,0.07,0,0.02,0,0.01,0.02
2011-08,88.07,0.91,2.26,6.17,1.17,0.09,0.61,0,0.21,0.34,0.05,0,0,0.07,0,0.02,0,0.01,0.01
2011-09,87.88,0.91,2.26,6.44,1.2,0.1,0.54,0,0.2,0.33,0.04,0,0,0.06,0,0.02,0,0.01,0.01
2011-10,87.6,1.01,2.38,6.57,1.25,0.12,0.43,0,0.19,0.31,0.04,0,0,0.06,0,0.02,0,0.01,0.02
2011-11,87.23,1.12,2.57,6.55,1.28,0.09,0.48,0,0.18,0.34,0.04,0,0,0.06,0,0.02,0,0.01,0.02
2011-12,86.8,1.31,2.88,6.33,1.23,0.13,0.54,0,0.19,0.41,0.05,0,0,0.06,0,0.02,0,0.01,0.03
2012-01,86.1,1.46,3.24,6.61,1.2,0.11,0.55,0,0.17,0.37,0.05,0,0,0.06,0,0.03,0,0.01,0.03
2012-02,86,1.53,3.45,6.58,1.22,0.12,0.54,0,0.06,0.35,0.05,0,0,0.05,0,0.02,0,0.01,0.03
2012-03,85.57,1.64,3.63,6.56,1.23,0.19,0.56,0,0.08,0.38,0.05,0,0,0.05,0,0.02,0,0.01,0.03
2012-04,84.65,1.85,4.09,6.75,1.23,0.09,0.64,0,0.15,0.36,0.05,0.02,0,0.05,0,0.03,0,0.01,0.04
2012-05,84.2,1.94,4.23,6.93,1.29,0.09,0.61,0,0.14,0.29,0.05,0.1,0,0.04,0,0.03,0,0.01,0.03
2012-06,83.65,2.25,4.61,6.79,1.29,0.08,0.61,0,0.15,0.27,0.05,0.12,0,0.04,0,0.03,0,0.01,0.03
2012-07,83.34,2.45,4.94,6.57,1.26,0.09,0.64,0,0.16,0.24,0.05,0.14,0,0.04,0,0.03,0,0.01,0.04
2012-08,82.75,2.81,5.22,6.53,1.25,0.1,0.61,0,0.18,0.23,0.05,0.15,0,0.03,0,0.03,0,0.01,0.04
2012-09,82.2,2.98,5.3,6.9,1.26,0.11,0.57,0,0.16,0.22,0.05,0.14,0,0.03,0,0.03,0,0.01,0.04
2012-10,82.17,3.01,5.21,6.99,1.29,0.11,0.54,0,0.16,0.22,0.05,0.14,0,0.03,0,0.03,0,0.01,0.03
2012-11,81.65,3.27,5.47,7.01,1.29,0.12,0.53,0,0.15,0.21,0.05,0.14,0,0.03,0,0.03,0,0.01,0.03
2012-12,81.08,3.75,5.81,6.71,1.26,0.15,0.54,0,0.16,0.21,0.06,0.16,0,0.03,0,0.03,0,0.01,0.04
2013-01,80.29,4.11,6.13,6.91,1.27,0.14,0.49,0,0.15,0.19,0.05,0.15,0,0.03,0,0.03,0,0.01,0.03
2013-02,79.75,4.36,6.54,6.9,1.3,0.13,0.37,0,0.14,0.18,0.05,0.17,0,0.03,0,0.03,0,0.01,0.03
2013-03,79.41,4.59,6.75,6.71,1.3,0.13,0.4,0,0.14,0.18,0.06,0.22,0,0.03,0,0.04,0,0.01,0.03
2013-04,78.89,4.69,6.84,6.96,1.37,0.14,0.42,0.01,0.14,0.17,0.05,0.22,0,0.02,0,0.03,0,0.01,0.03
2013-05,77.95,4.93,7.2,7.2,1.47,0.13,0.42,0.01,0.14,0.17,0.05,0.24,0,0.02,0,0.03,0,0.02,0.03
2013-06,77.5,5.11,7.45,7.13,1.49,0.14,0.43,0.01,0.13,0.17,0.05,0.29,0,0.02,0,0.03,0,0.02,0.03
