"Date","Windows","iOS","OS X","Android","Linux","Chrome OS","Unknown","BlackBerry OS","Playstation","SymbianOS","macOS","Xbox","Series 40","Samsung","Nintendo","","webOS","Sony Ericsson","Nintendo 3DS","Other"
2009-01,91.8,0.45,6.58,0.01,0.6,0,0.28,0.02,0.18,0.05,0,0,0,0,0.02,0,0,0,0,0.02
2009-02,91.16,0.5,7.19,0.04,0.53,0,0.21,0.1,0.18,0.03,0,0,0,0,0.03,0,0,0,0,0.02
2009-03,90.02,0.67,7.94,0.05,0.57,0,0.27,0.14,0.23,0.04,0,0,0,0,0.04,0,0,0,0,0.03
2009-04,89.18,0.8,8.47,0.05,0.63,0,0.32,0.16,0.28,0.04,0,0,0,0,0.04,0,0,0,0,0.03
2009-05,89.66,0.72,8.05,0.05,0.6,0,0.37,0.18,0.27,0.04,0,0,0,0,0.03,0,0,0,0,0.03
2009-06,87.85,0.83,9.41,0,0.73,0,0.46,0.24,0.34,0.05,0,0,0,0,0.04,0,0,0,0,0.03
2009-07,87.73,0.9,9.46,0.07,0.74,0,0.28,0.28,0.41,0.03,0,0,0,0.01,0.05,0,0,0,0,0.04
2009-08,87.58,0.9,9.68,0.07,0.7,0,0.21,0.24,0.43,0.03,0,0,0,0.03,0.05,0,0.01,0.01,0,0.05
2009-09,87.43,0.81,9.98,0.08,0.7,0,0.21,0.23,0.34,0.05,0,0,0,0.03,0.06,0,0.02,0.01,0,0.05
2009-10,87.09,0.78,10.45,0.08,0.63,0,0.2,0.23,0.35,0.04,0,0,0,0.03,0.05,0,0.02,0.01,0,0.04
2009-11,86.04,0.86,11.11,0.12,0.65,0,0.29,0.34,0.38,0.05,0,0,0,0.03,0.06,0,0.02,0.01,0,0.04
2009-12,85.99,0.95,10.94,0.17,0.66,0,0.37,0.31,0.4,0.05,0,0,0,0.03,0.06,0,0.02,0.02,0,0.04
2010-01,84.87,1.17,11.69,0.22,0.68,0,0.35,0.38,0.4,0.07,0,0,0,0.04,0.06,0,0.02,0.02,0,0.04
2010-02,84.5,1.22,12.04,0.27,0.67,0,0.24,0.51,0.32,0.06,0,0,0,0.04,0.06,0,0.02,0.02,0,0.04
2010-03,84.95,1.14,11.53,0.32,0.68,0,0.23,0.63,0.29,0.06,0,0,0,0.04,0.06,0,0.02,0.02,0,0.03
2010-04,84.31,1.22,11.81,0.33,0.7,0,0.29,0.76,0.32,0.07,0,0,0,0.05,0.06,0,0.03,0.02,0,0.03
2010-05,84.23,1.37,11.58,0.26,0.69,0,0.42,0.82,0.34,0.07,0,0,0,0.09,0.06,0,0.04,0.02,0,0.01
2010-06,84.52,1.54,10.94,0.28,0.69,0,0.42,0.92,0.36,0.08,0,0,0,0.09,0.07,0,0.04,0.03,0,0.01
2010-07,84.31,1.7,10.7,0.56,0.68,0,0.26,1.08,0.35,0.11,0,0,0,0.08,0.07,0,0.04,0.03,0,0.02
2010-08,82.99,1.97,11.28,0.75,0.69,0,0.22,1.35,0.35,0.13,0,0,0,0.09,0.07,0,0.05,0.04,0,0.02
2010-09,82.3,2.02,12.02,0.89,0.68,0,0.24,1.14,0.32,0.14,0,0,0,0.09,0.06,0,0.04,0.04,0,0.02
2010-10,81.45,2.18,12.32,1.01,0.66,0,0.25,1.4,0.32,0.16,0,0,0,0.09,0.06,0,0.04,0.05,0,0.02
2010-11,80.62,2.28,12.68,1.12,0.66,0,0.25,1.64,0.31,0.16,0,0,0,0.1,0.06,0,0.04,0.05,0,0.02
2010-12,79.89,2.57,12.88,1.29,0.67,0,0.26,1.64,0.35,0.17,0,0,0,0.11,0.07,0,0.04,0.05,0,0.02
2011-01,79.34,2.96,12.96,1.42,0.66,0,0.26,1.5,0.34,0.27,0,0,0,0.11,0.07,0,0.03,0.05,0,0.02
2011-02,79.06,3.01,13.27,1.54,0.67,0,0.25,1.28,0.32,0.33,0,0,0,0.11,0.06,0,0.03,0.06,0,0.02
2011-03,79.29,3.16,13,1.65,0.68,0,0.25,1.15,0.31,0.25,0,0,0,0.1,0.06,0,0.03,0.06,0,0.01
2011-04,78.42,3.42,12.95,1.79,0.68,0,0.28,1.42,0.32,0.4,0,0,0,0.11,0.06,0,0.03,0.08,0,0.01
2011-05,77.2,3.76,12.7,2.21,0.7,0.01,0.34,1.7,0.36,0.66,0,0,0,0.14,0.06,0,0.03,0.1,0,0.02
2011-06,77.3,3.97,12.49,2.37,0.71,0.01,0.31,1.28,0.35,0.85,0,0,0,0.17,0.07,0,0.02,0.1,0,0.02
2011-07,76.65,4.44,12.64,2.55,0.73,0.01,0.34,1.26,0.36,0.68,0,0,0,0.14,0.07,0,0.02,0.09,0,0.02
2011-08,77.4,4.28,12.54,2.62,0.74,0.01,0.25,1.06,0.36,0.48,0,0,0,0.12,0.07,0,0.02,0.06,0,0.01
2011-09,77.72,4.24,12.81,2.46,0.71,0.01,0.25,0.86,0.32,0.39,0,0,0,0.1,0.06,0,0.02,0.04,0,0.01
