"Date","Windows","iOS","OS X","Android","Unknown","Linux","Chrome OS","macOS","Samsung","SymbianOS","Playstation","BlackBerry OS","Series 40","Xbox","Nokia Unknown","Other"
2009-01,91.11,0.42,7.15,0,0.38,0.69,0,0,0,0.14,0.09,0,0,0,0,0.02
2009-02,90.82,0.41,7.51,0,0.29,0.73,0,0,0,0.13,0.09,0.01,0,0,0,0.02
2009-03,90.54,0.51,7.69,0,0.32,0.7,0,0,0,0.14,0.08,0.01,0,0,0,0.01
2009-04,90.22,0.57,7.9,0,0.34,0.7,0,0,0,0.15,0.09,0.01,0,0,0,0.02
2009-05,89.76,0.59,8.22,0,0.44,0.71,0,0,0,0.16,0.09,0.01,0,0,0,0.01
2009-06,89.27,0.55,8.71,0,0.46,0.75,0,0,0,0.16,0.09,0.01,0,0,0,0.01
2009-07,89.67,0.61,8.34,0,0.26,0.79,0,0,0,0.15,0.11,0.04,0,0,0,0.02
2009-08,88.39,0.65,8.64,0,0.18,0.76,0,0,0,0.17,0.09,1.07,0,0,0,0.05
2009-09,88.12,0.64,8.71,0.01,0.16,0.75,0,0,0,0.17,0.1,1.27,0,0,0,0.06
2009-10,87.55,0.72,8.93,0.01,0.16,0.75,0,0,0,0.18,0.1,1.55,0,0,0,0.05
2009-11,88.49,0.79,9.34,0.01,0.23,0.77,0,0,0,0.18,0.1,0.01,0,0,0,0.06
2009-12,87.12,0.9,8.94,0.01,0.3,0.77,0,0,0,0.2,0.13,1.56,0,0,0,0.06
2010-01,86.66,1.2,9.53,0.01,0.28,0.77,0,0,0,0.24,0.13,1.11,0,0,0,0.07
2010-02,87.19,1.23,10.07,0.02,0.16,0.78,0,0,0,0.26,0.09,0.14,0,0,0,0.06
2010-03,86.83,1.3,10.25,0.02,0.16,0.78,0,0,0,0.23,0.1,0.26,0,0,0,0.07
2010-04,86.29,1.38,10.3,0.02,0.21,0.77,0,0,0.01,0.24,0.12,0.61,0,0,0,0.06
2010-05,85.95,1.42,10.53,0.02,0.26,0.8,0,0,0.03,0.22,0.11,0.6,0,0,0,0.06
2010-06,85.31,1.68,10.68,0.02,0.25,0.79,0,0,0.03,0.26,0.12,0.78,0,0,0,0.07
2010-07,84.71,1.97,10.77,0.08,0.14,0.79,0,0,0.03,0.28,0.13,1.03,0,0,0,0.07
2010-08,83.8,2.16,11.37,0.12,0.12,0.76,0,0,0.03,0.28,0.11,1.19,0,0,0,0.06
2010-09,84.22,2.33,11.71,0.18,0.11,0.72,0,0,0.03,0.29,0.11,0.22,0,0,0,0.06
2010-10,83.57,2.62,12.13,0.22,0.1,0.69,0,0,0.03,0.3,0.11,0.17,0,0,0,0.06
2010-11,83.19,2.79,12.27,0.28,0.09,0.7,0,0,0.04,0.31,0.11,0.16,0,0,0,0.07
2010-12,82.8,3.15,12.18,0.36,0.09,0.72,0,0,0.05,0.33,0.12,0.13,0,0,0,0.07
2011-01,81.9,3.64,12.54,0.42,0.1,0.73,0,0,0.04,0.35,0.13,0.09,0,0,0,0.06
2011-02,81.24,3.68,13.19,0.48,0.09,0.7,0,0,0.04,0.32,0.1,0.1,0,0,0,0.05
2011-03,80.5,3.92,13.65,0.53,0.09,0.69,0,0,0.04,0.32,0.1,0.11,0,0,0,0.05
2011-04,79.38,4.58,13.96,0.63,0.09,0.69,0,0,0.04,0.36,0.11,0.11,0,0,0,0.05
2011-05,78.67,4.77,14.32,0.74,0.11,0.72,0,0,0.03,0.37,0.1,0.09,0,0,0,0.06
2011-06,78.74,4.87,14.08,0.82,0.11,0.71,0,0,0.03,0.36,0.09,0.14,0,0,0,0.06
2011-07,79.12,5.07,13.54,0.92,0.1,0.66,0,0,0.04,0.36,0.09,0.04,0,0,0,0.06
2011-08,78.29,5.11,14.19,1.04,0.09,0.7,0,0,0.04,0.35,0.1,0.04,0,0,0,0.06
2011-09,77.61,5.48,14.49,1.08,0.1,0.71,0,0,0.03,0.31,0.11,0.04,0,0,0,0.06
2011-10,76.83,5.95,14.69,1.2,0.11,0.7,0,0,0.02,0.28,0.12,0.03,0,0,0,0.06
2011-11,76.48,6.7,14.2,1.33,0.08,0.7,0,0,0.02,0.27,0.11,0.04,0,0,0,0.07
2011-12,75.47,7.93,13.58,1.63,0.12,0.72,0,0,0.03,0.28,0.13,0.04,0,0,0,0.08
