"Date","Windows","Android","OS X","iOS","Linux","Unknown","SymbianOS","Series 40","Samsung","BlackBerry OS","LG","Sony Ericsson","Playstation","Nokia Unknown","Chrome OS","macOS","Other"
2009-01,98.54,0,0.56,0.05,0.68,0.07,0.09,0,0,0,0,0,0.01,0,0,0,0
2009-02,98.49,0,0.6,0.05,0.7,0.05,0.1,0,0,0,0,0,0.01,0,0,0,0
2009-03,98.42,0,0.61,0.06,0.76,0.04,0.1,0,0,0,0,0,0.01,0,0,0,0
2009-04,98.47,0,0.56,0.06,0.76,0.05,0.08,0,0,0,0,0,0.01,0,0,0,0
2009-05,98.36,0,0.56,0.05,0.81,0.12,0.09,0,0,0,0,0,0.01,0,0,0,0
2009-06,98.22,0,0.59,0.06,0.86,0.17,0.1,0,0,0,0,0,0.01,0,0,0,0
2009-07,98.39,0,0.59,0.05,0.82,0.06,0.08,0,0,0,0,0,0.01,0,0,0,0
2009-08,98.31,0,0.61,0.05,0.87,0.04,0.09,0,0,0,0,0.01,0.01,0,0,0,0
2009-09,98.27,0,0.63,0.05,0.9,0.04,0.09,0,0,0,0,0.01,0.01,0,0,0,0
2009-10,98.24,0,0.64,0.05,0.89,0.07,0.09,0,0,0,0,0.01,0.01,0,0,0,0
2009-11,98.11,0,0.66,0.05,0.92,0.13,0.1,0,0,0,0,0.02,0.01,0,0,0,0
2009-12,98.14,0,0.66,0.05,0.81,0.18,0.11,0,0,0.01,0,0.02,0.01,0,0,0,0
2010-01,98.13,0,0.72,0.07,0.72,0.15,0.14,0,0,0.01,0,0.03,0.01,0,0,0,0
2010-02,98.04,0,0.81,0.08,0.76,0.06,0.17,0,0.01,0.01,0,0.04,0.01,0,0,0,0
2010-03,97.66,0.01,0.92,0.09,0.85,0.08,0.26,0,0.01,0.02,0,0.08,0.01,0,0,0,0
2010-04,97.57,0.01,0.92,0.09,0.84,0.23,0.23,0,0.01,0.02,0,0.06,0.02,0,0,0,0
2010-05,97.45,0.01,0.93,0.1,0.92,0.31,0.2,0,0.01,0.02,0,0.04,0.01,0,0,0,0
2010-06,97.62,0.01,0.94,0.11,0.92,0.09,0.21,0,0.01,0.02,0,0.05,0.02,0,0,0,0
2010-07,97.62,0.02,0.95,0.12,0.84,0.09,0.25,0,0.02,0.02,0,0.06,0.02,0,0,0,0
2010-08,97.3,0.03,0.99,0.13,0.94,0.12,0.34,0,0.03,0.03,0,0.08,0.02,0,0,0,0
2010-09,96.95,0.04,0.98,0.13,0.91,0.2,0.57,0,0.05,0.04,0,0.13,0.02,0,0,0,0
2010-10,96.63,0.05,0.98,0.15,0.88,0.24,0.75,0,0.07,0.04,0,0.17,0.02,0,0,0,0
2010-11,96.27,0.07,1.02,0.16,0.96,0.23,0.84,0,0.17,0.05,0,0.19,0.02,0,0,0,0
2010-12,96.19,0.09,1,0.18,0.86,0.23,0.88,0,0.32,0.05,0,0.18,0.02,0,0,0,0.01
2011-01,96.23,0.1,1.03,0.21,0.77,0.24,0.86,0,0.33,0.05,0,0.15,0.02,0,0,0,0.01
2011-02,96.03,0.12,1.06,0.22,0.85,0.27,0.88,0,0.35,0.06,0,0.14,0.02,0,0,0,0.01
2011-03,95.73,0.16,1.08,0.24,0.87,0.3,0.98,0,0.42,0.07,0,0.14,0.02,0,0,0,0.01
2011-04,95.55,0.19,1.06,0.24,0.88,0.34,1.04,0,0.46,0.07,0,0.15,0.02,0,0,0,0.01
2011-05,95.13,0.23,1.06,0.25,0.91,0.52,1.15,0,0.49,0.08,0,0.14,0.02,0,0,0,0.01
2011-06,94.89,0.29,1.03,0.27,0.84,0.6,1.29,0,0.53,0.09,0,0.14,0.01,0,0,0,0.02
2011-07,94.78,0.36,1.01,0.31,0.73,0.63,1.37,0,0.56,0.09,0,0.14,0.01,0,0,0,0.01
2011-08,94.48,0.45,1.03,0.33,0.8,0.64,1.44,0,0.58,0.1,0,0.13,0.01,0,0,0,0.02
2011-09,94.82,0.43,1.11,0.4,0.83,0.56,1.21,0,0.43,0.09,0,0.1,0.02,0,0,0,0.02
2011-10,94.89,0.54,1.18,0.47,0.89,0.42,1.07,0,0.35,0.08,0,0.08,0.02,0,0,0,0.03
2011-11,94.86,0.59,1.23,0.54,1,0.35,0.96,0,0.29,0.07,0,0.06,0.02,0,0,0,0.03
2011-12,94.55,0.73,1.3,0.63,0.91,0.37,1.01,0,0.29,0.09,0,0.06,0.02,0,0,0,0.03
2012-01,94.46,0.87,1.32,0.7,0.83,0.33,0.97,0,0.29,0.1,0,0.06,0.03,0,0,0,0.04
2012-02,94.23,0.99,1.42,0.8,0.93,0.32,0.9,0,0.21,0.1,0,0.05,0.01,0,0,0,0.04
2012-03,93.71,1.02,1.44,0.77,1,0.45,1.1,0,0.27,0.12,0,0.05,0.01,0,0,0,0.05
2012-04,93.98,1.06,1.47,0.82,0.96,0.34,0.84,0.09,0.21,0.11,0,0.04,0.02,0,0,0,0.05
2012-05,93.9,1.12,1.56,0.92,1.03,0.3,0.38,0.42,0.16,0.11,0,0.03,0.02,0,0,0,0.05
2012-06,93.68,1.25,1.56,1,1.01,0.3,0.37,0.45,0.16,0.12,0,0.03,0.02,0,0,0,0.05
2012-07,93.44,1.42,1.54,1.07,0.97,0.32,0.33,0.51,0.16,0.13,0,0.03,0.03,0,0,0,0.05
2012-08,92.94,1.65,1.61,1.15,1.07,0.33,0.33,0.52,0.16,0.14,0,0.03,0.03,0,0,0,0.06
2012-09,92.65,1.87,1.6,1.23,1.04,0.33,0.33,0.52,0.15,0.15,0,0.03,0.03,0,0,0,0.07
2012-10,92.38,2.03,1.67,1.28,1.05,0.34,0.33,0.51,0.14,0.15,0,0.03,0.03,0,0,0,0.07
2012-11,92.15,2.2,1.66,1.32,1.04,0.36,0.32,0.54,0.14,0.15,0,0.03,0.04,0,0,0,0.06
2012-12,91.58,2.6,1.68,1.46,1.02,0.37,0.31,0.57,0.12,0.16,0,0.03,0.04,0,0,0,0.06
2013-01,91.07,3.01,1.68,1.58,0.98,0.36,0.31,0.59,0.11,0.18,0,0.02,0.04,0,0,0,0.06
