"Continent","Android","Unknown","Windows","iOS","Linux","OS X","macOS","Chrome OS","Samsung"
India ,64.65,15.19,14.12,3.55,1.56,0,0,0,0
United States of America ,18.16,4.2,32.4,28.14,1.51,7.79,5.4,2.25,0
Thailand ,46.42,16.29,9.05,25.05,1.04,1.53,0,0,0
China ,36.21,6.1,38.44,14.01,0,2.38,2.31,0,0
Vietnam ,26.42,5.57,45.67,18.85,0,0,2.31,0,0
Brazil ,28.54,3.32,56.9,6.25,2.05,1.19,1.46,0,0
United Kingdom ,26.92,5,28.02,26.79,1.38,7.33,3.07,1.12,0
Indonesia ,44.4,4.91,37.52,7.72,1.75,2.47,1.08,0,0
Turkey ,52.31,4.29,23.41,16.73,1.13,0,1.1,0,0
Germany ,29.74,5.17,36.51,16.77,2.64,5.44,2.76,0,0
Philippines ,49.01,3.54,36.77,5.53,0,1.96,1.04,1.4,0
Iraq ,45.51,18.44,23.97,9.63,1.55,0,0,0,0
South Africa ,49.01,14.45,20.81,13.09,0,0,0,0,0
Egypt ,65.21,10.15,17.19,5.51,0,0,0,0,0
Spain ,37.86,9.47,28.41,15.57,1.63,3.32,2.27,1.28,0
Argentina ,28.01,4.42,59.38,5.31,1.19,0,0,0,0
Bangladesh ,25.01,3.52,65.97,1.89,1.83,0,1.08,0,0
Canada ,16.66,3.73,31.2,30.84,1.48,9.87,4.18,1.87,0
Mexico ,25.49,5.63,49.05,13.32,1.31,2.26,2.47,0,0
France ,33.38,5.05,32.65,17.77,1.58,5.22,3.27,0,0
Saudi Arabia ,53.17,5.69,21.01,17.07,0,1.59,0,0,0
Netherlands ,35.11,6.65,26.95,20.3,2.3,4.68,2.95,0,0
Russian Federation ,18.34,6.39,61.53,8.62,2.26,1.52,1.18,0,0
Pakistan ,45.35,8.5,40.02,3.76,0,0,0,0,0
Malaysia ,23.55,7.17,43.44,15.45,1.49,2.65,1.28,4.88,0
Taiwan ,26.28,6.56,27.88,33.07,1.13,3.58,1.08,0,0
Italy ,30.85,5.68,36.15,16.66,1.67,4.64,3.58,0,0
Iran ,53.89,6.86,29.87,8.41,0,0,0,0,0
Japan ,18.14,11.11,32.68,30.58,0,3.58,2.39,0,0
Romania ,37.2,6,40,13.34,1.17,1.12,1.03,0,0
South Korea ,34.53,5.44,40.65,15.58,0,1.18,1.82,0,0
Nigeria ,57.09,17.68,13.17,9.41,1.32,0,0,0,0
Australia ,17.54,3.49,32.34,29.83,1.02,8.55,6.05,0,0
Hong Kong ,30.12,10.47,22.56,29.54,1.36,3.13,2.56,0,0
Poland ,27.41,4.92,49.29,11.74,1.81,2.24,2.32,0,0
Singapore ,33.94,8.81,24.63,23.8,1.64,3.07,3.85,0,0
Nepal ,47.3,5.36,30.77,13.69,0,0,1.12,0,0
Bulgaria ,44.94,6.46,30.92,14.21,1.66,0,0,0,0
United Arab Emirates ,53.1,9.37,18.53,13.3,1.07,2.27,1.98,0,0
Greece ,27.03,5.72,51.49,9.5,2.59,2.02,1.14,0,0
Colombia ,27.91,7.72,44.91,15.35,1.13,1.22,1.6,0,0
Ukraine ,17.79,3.39,62.87,9.7,1.42,1.68,3.01,0,0
Israel ,41.48,8.77,26.91,17.48,2.4,1.35,1.34,0,0
Sweden ,22.59,3.72,32.47,27.75,1.34,5.42,4.23,2.26,0
Jordan ,47.31,4.74,29.56,16.52,0,0,0,0,0
Venezuela ,12.22,4.14,79.09,1.72,1.47,0,0,0,0
Sri Lanka ,19.3,6,68.36,4.53,0,0,0,0,0
Algeria ,29.41,4.87,59.47,4.27,0,0,0,0,0
Portugal ,24.64,5,48.35,14.49,1.3,3.04,2.71,0,0
Chile ,23.11,5.13,57.84,8.86,1.25,1.7,1.92,0,0
Bermuda ,0,0,0,70.55,0,28.7,0,0,0
Hungary ,37.08,6.68,37.83,13.84,1.25,1.85,1.32,0,0
Belgium ,26.57,4.63,33.71,22.81,1.12,7.53,2.61,0,0
Czech Republic ,28.88,5.7,46.17,12.73,1.52,3.1,1.66,0,0
Morocco ,32.98,5.06,47.12,10.51,1.2,0,2.11,0,0
Ireland ,33.44,6.85,22.2,30.36,0,3.49,2,0,0
Norway ,24.04,4.75,31.58,27.49,2.56,5.4,3.31,0,0
Denmark ,14.75,2.79,41.59,23.76,0,7.34,7.44,1.22,0
Ecuador ,20.48,5.51,60.74,7.35,2.45,1.73,1.58,0,0
Palestinian Territory ,61.34,8.28,22.61,6.6,0,0,0,0,0
Austria ,24.53,4.64,38.03,21.94,2.03,5.81,2.48,0,0
Switzerland ,22.49,3.79,31.7,26.77,1.43,9.16,4.34,0,0
Kenya ,37.77,10.74,46.26,2.32,1.21,0,0,0,0
Peru ,31.94,6.75,49.82,7.17,1.38,1.22,1.51,0,0
